Feature,Importance
Feature_83,0.14823128550404188
Feature_97,0.09372999937417381
Feature_104,0.07783661847322315
Feature_54,0.07376406434960883
Feature_41,0.07364238544328226
Feature_61,0.05533573251225651
Feature_34,0.05526778627570299
Feature_98,0.048855416763375896
Feature_90,0.04848510580943072
Feature_111,0.0483596135920289
Feature_55,0.046015008359411184
Feature_33,0.03694129000783265
Feature_40,0.02769502813218899
Feature_47,0.027597378932373746
Feature_108,0.018423751643819798
Feature_62,0.01841445424902822
Feature_48,0.01841331743670246
Feature_112,0.012001361857243185
Feature_84,0.009267812294315577
Feature_87,0.00925992490614257
Feature_15,0.009247761416854787
Feature_30,0.009229204392237043
Feature_80,0.009197308852903416
Feature_44,0.009157001280183786
Feature_19,0.00641999711706147
Feature_10,0.0063716727593043695
Feature_18,0.00021344252611118223
Feature_65,0.0001801022636448128
Feature_3,0.00017767382788888304
Feature_24,0.00015963522355961948
Feature_71,0.00015388555567348475
Feature_94,0.0001538744983233928
Feature_21,0.00015256233287832277
Feature_37,0.00013739832127590828
Feature_9,0.00012648280779090955
Feature_68,0.00012046550011254763
Feature_74,0.00011004289553307997
Feature_51,0.0001027160626910465
Feature_6,8.513605185674437e-05
Feature_46,7.702062827594115e-05
Feature_73,7.018326787005664e-05
Feature_70,6.020523716164925e-05
Feature_75,5.987135934048672e-05
Feature_4,5.9734466347243585e-05
Feature_0,5.9519129490504904e-05
Feature_31,5.805541103537382e-05
Feature_26,5.102257028202661e-05
Feature_77,5.089831650791697e-05
Feature_27,4.513838461209192e-05
Feature_69,4.29968346677334e-05
Feature_58,2.835980093643266e-05
Feature_29,2.5741181390998226e-05
Feature_28,2.44235360338742e-05
Feature_76,2.4020849416371476e-05
Feature_59,2.279685206924348e-05
Feature_11,2.0751303562617536e-05
Feature_79,2.045212347356334e-05
Feature_12,2.0355926674320192e-05
Feature_78,1.9333265768256685e-05
Feature_66,1.4141378734998528e-05
Feature_13,1.1742890914063728e-05
Feature_60,9.917184222409136e-06
Feature_101,8.40087769208896e-06
Feature_2,8.237038858524303e-06
Feature_52,7.869459715145414e-06
Feature_72,6.38046640135911e-06
Feature_110,4.4103561863873095e-06
Feature_25,3.649885136818979e-06
Feature_64,3.588693536638602e-06
Feature_36,3.5570865321615373e-06
Feature_96,3.5103814591175293e-06
Feature_39,3.3577864890912575e-06
Feature_7,3.184942514379851e-06
Feature_63,2.795527264121552e-06
Feature_88,2.5095896340797265e-06
Feature_22,2.3708748626158735e-06
Feature_91,2.15343126061387e-06
Feature_107,2.1451288820318382e-06
Feature_16,1.7560505214684994e-06
Feature_53,1.6647568531729415e-06
Feature_1,1.596593383813494e-06
Feature_42,1.4991233327457764e-06
Feature_102,1.3583956177833222e-06
Feature_57,1.321527722876116e-06
Feature_56,1.1974254375275813e-06
Feature_67,1.172665382562109e-06
Feature_114,1.088972365379596e-06
Feature_93,1.0546264331688421e-06
Feature_95,1.0377603445175936e-06
Feature_23,9.059973031885188e-07
Feature_45,7.610214858030255e-07
Feature_109,6.630273463245531e-07
Feature_50,6.612907138499052e-07
Feature_14,6.398170399541397e-07
Feature_43,6.271793694591091e-07
Feature_49,6.074741119360164e-07
Feature_35,5.906889154941964e-07
Feature_5,4.7564419023776675e-07
Feature_38,3.805210150867343e-07
Feature_81,2.46154752310176e-07
Feature_105,1.9025907979612736e-07
Feature_106,0.0
Feature_113,0.0
Feature_17,0.0
Feature_20,0.0
Feature_8,0.0
Feature_82,0.0
Feature_103,0.0
Feature_32,0.0
Feature_100,0.0
Feature_85,0.0
Feature_92,0.0
Feature_89,0.0
Feature_86,0.0
Feature_99,0.0
